Geneid,S5_pool2,S2_pool2,S1_pool1,S7_pool2,S12_pool1,S6_pool1,S7_pool1,S6_pool2,S2_pool1,S11_pool2,S9_pool2,S9_pool1,S10_pool1,S4_pool2,S12_pool2,S8_pool1,S3_pool1,S11_pool1,S5_pool1,S1_pool2,S3_pool2,S4_pool1,S10_pool2
4933401J01Rik,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Gm26206,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,24,31,12,14,10,21,27,18,8,4,10,35,42,30,4,10,30,38,18,22,35,22,38
Gm18956,1,2,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,2,0,4,0,4,6,0,1,0,2,0,3,0,0,0,0,1,0,2,0,7,2
Gm37363,2,1,0,2,6,6,3,3,0,3,7,0,0,1,0,2,3,1,2,0,4,5,2
Gm37686,0,0,2,0,3,0,2,0,0,2,2,0,0,1,2,2,0,0,0,0,0,1,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,3,0,0,0,2,0,0
Gm38148,0,0,0,2,0,0,0,1,0,2,8,0,6,0,1,10,0,2,2,2,0,2,2
Gm19938,60,45,16,57,19,57,42,64,18,27,43,22,33,41,38,32,40,35,32,58,49,28,61
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,2,2,0,1,1,3,0,0,0,0,0,0,5,0,0,0,0,1
Rp1,34,0,4,4,0,2,5,0,0,10,34,17,4,12,10,3,16,15,10,4,8,4,2
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,435,541,161,257,332,509,309,428,288,267,369,321,707,481,436,191,256,341,372,423,567,294,659
Gm37587,2,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,5,0,0,0,0
Gm7357,7,24,4,4,5,19,7,4,5,10,18,10,14,12,12,6,6,14,17,6,12,6,20
Gm22307,0,4,2,0,1,0,0,4,0,0,0,2,0,0,0,2,0,1,2,1,5,0,2
Gm38076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,3,0,0,0,0,2,0,1,3,12,2,0,4,0,7,0,0,4,0,0,0,8,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm6085,92,113,39,147,50,47,66,100,65,36,72,49,44,93,106,59,53,53,57,120,79,66,101
Gm6119,2,0,6,1,1,2,2,4,0,0,8,4,0,2,2,1,0,2,2,2,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm2053,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1
Gm6123,20,22,10,21,13,7,15,20,14,52,48,22,2,30,28,10,8,12,12,23,9,14,15
Mrpl15,1534,1679,940,1446,1111,1266,1369,1374,1540,1008,1592,996,1487,1364,1428,1218,1218,1264,1246,1444,1375,1240,1547
Gm37144,24,89,32,78,26,46,53,66,52,30,48,33,57,44,60,45,27,36,26,54,38,37,89
Lypla1,2685,2255,1967,2858,1787,2038,2563,1944,2402,985,1956,2126,2467,1924,2260,2169,2136,2116,1980,2017,2181,1699,2436
Gm37988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcea1,3412,3120,2999,4025,2528,2800,3329,2774,3367,1637,1893,2511,3167,3008,3745,2574,2805,2515,3056,2661,3091,2358,3648
Gm6104,71,78,171,189,39,92,70,120,161,32,41,38,105,72,126,66,45,22,88,61,67,60,104
Gm37277,39,68,44,38,112,121,100,58,42,26,17,100,163,60,101,198,52,63,106,51,93,109,84
Rgs20,249,364,293,161,494,738,557,238,235,88,157,657,707,391,421,744,242,277,454,263,362,601,523
Gm17100,0,5,2,1,1,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0
Gm37079,0,8,0,22,2,16,2,10,2,7,9,10,8,4,11,6,2,0,6,5,5,11,12
Gm16041,6,6,4,12,0,16,4,7,0,10,10,8,10,25,20,2,6,0,4,10,0,3,18
Gm17101,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Atp6v1h,2421,2757,2734,2944,2485,3244,3155,2257,3620,1427,1763,2334,3270,2457,2955,2835,2413,2572,2544,2336,2546,2889,3022
Gm7182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,9,12,0,0,0,1,0,0,6,0,0,15,0,0,0,0,0,20,0
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0
Oprk1,3,0,0,0,0,9,8,1,4,3,2,8,4,2,3,7,0,0,4,0,2,2,0
Gm36965,4,2,0,0,0,4,2,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0
Gm22463,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,2,2,0,2,0,5,9,0,0,0,0,2,2,0,0,0,0,2,6
Npbwr1,144,152,155,161,159,182,219,124,84,60,90,237,134,165,77,108,217,254,384,104,185,107,146
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,4309,4333,3350,3987,3099,3560,4399,3212,3549,2283,3621,4497,3851,3984,4439,3033,4270,4328,4256,3671,4577,2907,4934
4732440D04Rik,273,307,284,330,176,253,283,230,280,120,148,334,241,270,271,227,220,278,366,190,374,239,328
Alkal1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2147,8,2,4,0,0,1,2,2,1,4,5,3,0,5,2,2,1,2,2,4,2,2,4
Gm7417,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Gm19026,8,14,6,16,9,9,3,15,3,17,16,11,1,10,10,11,9,6,6,21,12,2,6
St18,2,19,4,0,17,30,4,9,8,4,0,15,30,18,18,22,3,0,5,18,20,30,16
Gm42492,0,0,0,0,0,4,0,0,2,0,0,0,2,0,1,0,2,0,2,2,0,0,0
Gm7449,0,0,2,0,0,1,0,4,0,0,1,0,3,0,8,0,1,0,0,0,0,0,0
Gm37108,99,182,34,308,46,50,19,119,48,318,268,36,25,234,293,86,15,31,21,135,92,41,184
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Pcmtd1,5421,5034,2843,3789,3149,3600,5073,3714,3169,2837,4282,3903,4089,4125,4182,3345,5226,4563,4067,4225,4861,3266,5115
Gm26983,2,2,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Gm38372,10,24,16,37,19,24,23,5,30,2,9,11,24,34,24,10,13,22,6,30,59,22,44
Gm9826,43,47,84,92,32,59,33,59,138,21,20,40,67,34,84,47,29,35,82,51,58,47,66
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm26901,60,47,51,48,34,30,36,54,51,28,33,23,27,41,87,34,33,40,30,36,46,28,68
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,4,0,2,0,8,6,0,0,0,4,0,2,0,0,0,0,2,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,1,0,0,0,4,2,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0
Rps2-ps2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
Gm38216,0,2,0,0,0,2,2,1,0,4,4,1,0,0,0,0,0,0,0,2,0,0,0
Sntg1,4,5,0,1,8,9,7,8,0,19,8,8,11,4,5,10,29,18,0,2,2,4,0
Gm38024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16284,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm38259,3,2,0,0,4,3,2,2,0,8,2,4,0,0,2,5,0,6,2,0,0,7,4
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,2,2,0,0,2,0,4,0,0,0,0,0,1,4,2,0,0,0,2,1
Gm15452,23,22,56,99,44,89,37,40,101,5,10,30,94,34,45,47,30,24,65,22,20,88,52
Gm36964,0,0,1,3,0,2,0,0,0,2,2,0,0,1,0,0,0,0,2,1,0,0,2
Gm24276,4,10,7,20,5,0,2,12,2,52,22,7,1,17,12,0,0,0,2,8,4,0,24
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,3,3,5,10,3,1,0,1,2,18,25,5,1,5,20,2,0,4,1,2,5,2,6
Gm37629,1,0,0,0,0,2,2,2,1,3,3,5,0,4,0,0,6,0,1,2,2,3,0
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,1,1,0,0,0,1,0,0,1,2,3,0,0,0,0,0,1,0,1,0,2,1,0
Gm6187,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,0,0,12,0,0,2,4,0,0,0,0,2,5,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,4,2,0,0,1,2,5,4,1,11,10,0,2,0,0,0,4,2,10,4,4,0,4
